l3_code,l3_name,l3_domain,l1_code,vn_id,vn_name,vn_composition,vn_physical_form,vn_start_point,vn_end_point,m_anchor,kpi_anchor,attr1_business_position,attr2_value_property,attr3_physical_existence,attr4_data_validation,gate1_data_linked,gate2_grounded,gate3_traceable,overall_judgment,is_fused,priority,notes
L3-ASD,经代机构售后服务流程,JD,L1-04,VN-ASD-01,投诉处理报告,投诉记录+投诉录音+上诉记录+CRC材料包+处理结论,投诉档案（记录表+录音+邮件+会议纪要）,客户投诉通过热线/电邮接收,投诉覆核委员会（CRC）作出处理结论,M1 中台运营; M7 产品策略与团队治理,投诉处理时效、投诉闭环率、客户投诉升级率,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,新增机构售后流程价值节点
L3-ASD,经代机构售后服务流程,JD,L1-04,VN-ASD-02,售后服务质量监控报告,投诉量统计+处理时效+整改建议+服务质量评分,《售后服务质量监控报告》（PDF/Excel）,监控周期开始,监控报告输出并推动整改,M7 产品策略与团队治理,投诉处理时效、客户满意度、整改完成率,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,新增机构售后流程价值节点
L3-BAM,银行账户基础设施管理,FIN,L1-03,VN-BAM-01,银行账户全生命周期管理资产包,《开户资料清单》+《U盾登记台账》+《月度对账单接收清单》+《账户状态盘点表》+《U盾变更/交接记录》+《银行费用汇总表》+《账户全生命周期档案袋》,Excel台账包+PDF档案,开户需求,账户全生命周期档案闭环归档,M0 数理基建; M7 产品策略与团队治理; M8 财务结算,账户盘点覆盖率、U盾交接合规率、档案完整率,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,True,P0,资金管理D1-D4调研确认：U盾分散在魏总/王总/SOSO/Chaya/人力手上，无登记台账；对账单各自获取无统一分发；33+账户无定期盘点；档案无统一归档。
L3-BAM,银行账户基础设施管理,FIN,L1-03,VN-BAM-02,银行准入评估与支付工具管理记录,《银行准入评估表》（4维度：业务支持能力/关系/手续费/操作便利性）+《支票领用登记台账》,"Excel评估表+台账（待建设）· 当前银行准入无标准""东开一个西开一个""；支票双签形同虚设（老板签完一本给财务）",开户需求/支付需求,支票领用登记闭环,M7 产品策略与团队治理; M8 财务结算,银行准入合规率、支票使用合规率,PASS,PASS,PASS,FAIL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,True,P1,"批次8-Roy访谈：银行准入无标准导致账户""东开一个西开一个""；支票双签形同虚设（老板签完一本给财务）。待B-CFM-11/12 Mark裁定"
L3-BSRV,经代机构结算与日常运营评估,JD,L1-04,VN-BSRV-01,机构结算核对台账,按费用类型（结算服务费/权益费/管理费/合规费/邮箱费）核对的结算明细 + 核对确认记录,Excel台账（当前无标准格式，需建立）,机构结算周期到达，各费用类型账单生成,结算金额核对确认，移交中台对应结算 L3（COM/SSVA/STLM）执行付款,M7 产品策略与团队治理; M8 财务结算,结算核对准确率、结算及时率、费用类型覆盖率,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,False,P1,2026-07-04 新增：基于财务付款调研（D2偏差分析20260523）+ 经代业务访谈；L4-BSRV-01为过程活动无VN；L4-BSRV-02台账当前无标准格式；结算路径牌照→塞尔斯/RW/NGM/NGA；下游触发COM/SSVA/STLM
L3-CFM,现金流规划与资金调度管理,FIN,L1-03,VN-CFM-01,现金流管理报告包,《收款预测表》+《4周付款计划表》+《缺口预警+调度方案》+《跨主体调拨审批单》+《资金池监控表》+《银行结余台账》+《周度结余报表》+《月度现金流预测报告》,Excel报表包,收款预测,现金流预测报告定稿归档,M0 数理基建; M1 中台运营; M8 财务结算,预测准确率、缺口预警及时率、资金调拨合规率,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,True,P0,资金管理D1-D4调研确认：MOMO仅提供当期数据无预测；付款计划依赖个人经验；每天手动算缺口；跨主体调拨仅牌照→塞尔斯有合同；无资金池；体系外对账一年一次；仅每周手工结余报表。
L3-CFM,现金流规划与资金调度管理,FIN,L1-03,VN-CFM-02,资金付款审批单,《资金付款审批单》（含原始凭证+计算逻辑+业务审批意见+财务复核意见）,审批单/共用表（待建设）· 当前无业务审批，资金付款完全听业务的；财务无原始凭证和计算逻辑支撑，复核流于形式,业务付款需求,资金付款执行,M7 产品策略与团队治理; M8 财务结算,付款审批覆盖率、原始凭证完整率、复核准确率,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,True,P1,批次8-Roy访谈：无业务审批，资金付款完全听业务的；财务无原始凭证和计算逻辑支撑，复核流于形式；Carrie正在做端到端打通。待B-CFM-13 Mark裁定
L3-CPM,流程持续监控与优化闭环管理,MGA,L1-03,VN-CPM-01,机构监控指标体系与看板,《机构监控指标体系》+ 看板URL + 实时数据流,方案文档(Word/PDF) + BI看板URL,机构进入BAU运营阶段,看板上线并持续产出实时数据流,M1 中台运营; M2 KPI报表,流程KPI达成率、月度健康度报告产出率,PASS,PASS,PARTIAL,FAIL,PARTIAL,FAIL,FAIL,FAIL,False,P1,候选VN(2026-07-14确认)。包含L4-CPM-01+02。监控维度由合同约定，不超越合同边界。当前看板未上线，gate未通过。
L3-CPM,流程持续监控与优化闭环管理,MGA,L1-03,VN-CPM-02,优化闭环执行包,《月度健康度报告》+《优化决议》+《优化执行报告》,报告文档(Word/PDF) + 决议文档,月度分析周期启动,优化执行确认闭环效果，案例入库,M1 中台运营; M7 产品策略与团队治理,优化建议采纳率、异常响应时效,PASS,PASS,PARTIAL,FAIL,PARTIAL,FAIL,FAIL,FAIL,False,P1,候选VN(2026-07-14确认)。包含L4-CPM-03+04+05。月度固定闭环节奏，不允许只监控不改进。与L3-EFB联动执行。
L3-CRR,合作伙伴续约管理,JD,L1-05,VN-CRR-01,合作伙伴到期审核记录,出单核查结果 + 续签/终止决定 + 合作伙伴类型标注,Excel台账记录 / 待建标准表单（当前无标准格式）,合约到期日到达（理财师9个月 / 合作伙伴12个月）,续签流程启动 或 合约终止执行,M7 产品策略与团队治理,到期识别准确率、续约资格审核覆盖率,PASS,PASS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,True,P0,对象重新定义后新增；包含L4-CRR-06~09，当前依赖人工台账，需建立标准表单、预警规则与系统预警
