L1编码,L3编码,L3名称,L4编码,L4名称,核心交付物,介入类型,是否核心介入点,D1_输入结构化,D2_规则清晰,D3_输出可验,D4_API可达,D5_降级可用,D6_合规可编码,总分,推导Tier,资金安全强制关卡,物理执行类,备注
L1-03,L3-COM,佣金全链路管理,L4-COM-01,佣金政策接收与校准,《标准化政策库》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-02,差异化拆解与验证,《各细分市场配置》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-03,佣金整合与外发,《佣金外发凭证》,复盘优化/异常介入,是,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-04,年度预算与规划,《年度预算与规划》,战略决策,是,2,1,1,1,1,1,7,Hybrid,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-05,追溯调整与退保倒扣,《追溯调整与退保倒扣记录》,异常介入,是,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-06,佣金税务处理,《佣金税务处理记录》,合规签字(待复核:异常vs常规),是,3,3,3,3,2,2,16,Auto,,,旧版标Auto但语义偏常规签字，建议复核是否应降为Aug
L1-03,L3-COM,佣金全链路管理,L4-COM-07,佣金争议处理,《佣金争议处理记录》,跨部门协调/专业审批,是,2,0,1,1,1,1,6,Hybrid,,,D2否决权已体现
L1-03,L3-COM,佣金全链路管理,L4-COM-08,跨保司佣金整合,《跨保司佣金整合记录》,专业审批,是,2,2,2,2,2,2,12,Aug,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-09,佣金异常检测反欺诈,《佣金异常检测反欺诈记录》,异常介入,是,3,3,3,3,2,2,16,Auto,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-10,保单信息整合与应收核算（待注册）,《应收明细清单》,无明显判断成分,否,2,3,2,2,1,1,11,Aug,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-11,银行到账确认与实收对账（待注册）,《实收清单》 + 《差异对照表》,异常介入,是,2,2,2,2,1,1,10,Aug,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-12,应派金额拆分与渠道对账（待注册）,《应派清单》 + 《理财师对账单》,无明显判断成分,否,2,3,2,2,1,1,11,Aug,,,
L1-03,L3-COM,佣金全链路管理,L4-COM-13,实派清单确认与财务制单（待注册）,《实派执行表》,专业审批,是,2,2,2,1,1,2,10,Aug,是,,资金安全强制人工关卡
