kpi_id,kpi_code,kpi_level,kpi_type,is_mark_kpi,名称_中,名称_英,指标类型,视角主轴,战略锚点,合规红线,计算公式,单位,方向,目标值,阈值,周期,可算性,数据源,数据Owner,落责岗位,领先于,反KPI,置信度,关键少数,authority_status,pending_decision
KPI_01,财务-KRI-01,企业级,企业registry,False,总保费,Total Premium,KRI,财务结果,L1-01;L1-02;L1-03;L1-04;L1-05,否,SUM(premium),HKD,越大越好,Mark待决,Mark待决,月,可直接算,FCT_POLICY,廖小溪/数据,3族,—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;领先于;置信度
KPI_02,财务-KRI-02,企业级,企业registry,False,APE,年化保费,KRI,财务结果,L1-01;L1-02;L1-03;L1-04,否,SUM(APE);年化规则待定,HKD,越大越好,Mark待决,Mark待决,月,可直接算,FCT_POLICY,廖小溪/数据,5族,—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;领先于;置信度;计算公式
KPI_03,能力-KRI-03,企业级,企业registry,False,目标达成率,Achievement,KRI,能力与组织,L1-01;L1-02;L1-03;L1-05,否,实际/目标,%,越大越好,Mark待决,Mark待决,月,可直接算,FCT_TARGET,廖小溪/数据,无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_04,财务-KRI-04,企业级,企业registry,False,净营收,Net Revenue,KRI,财务结果,L1-01;L1-03;L1-05,否,佣金收入−成本(依赖佣金率),HKD,越大越好,Mark待决,Mark待决,月,补数据后可算,FCT_COMMISSION,CARRIE(佣金率),无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_06,财务-KRI-06,企业级,企业registry,False,管理利润,Operating Profit,KRI,财务结果,L1-03;L1-05,否,净营收−运营成本,HKD,越大越好,Mark待决,Mark待决,月,补数据后可算,"FCT_COMMISSION, FCT_ALLOCATED_COST",CARRIE(佣金率),单点1族(待补冗余),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_09,客户-RI-09,企业级,企业registry,False,细分市场占比,Segment Mix,RI,客户,L1-01;L1-02;L1-03;L1-05,否,细分保费/总保费,%,越大越好,Mark待决,Mark待决,月,可直接算,FCT_POLICY,廖小溪/数据,单点1族(待补冗余),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_12,客户-RI-12,企业级,企业registry,False,Top N 集中度,待补,RI,客户,L1-01;L1-02;L1-04,否,TopN保费/总保费,个,越大越好,Mark待决,Mark待决,月,可直接算,FCT_POLICY,廖小溪/数据,无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;名称_英;落责岗位;领先于;置信度
KPI_13,财务-RI-13,企业级,企业registry,False,N/R 结构,Renewal Ratio,RI,财务结果,L1-02;L1-03;L1-04;L1-05,否,续期保费/新单保费,%,越大越好,Mark待决,Mark待决,月,补数据后可算,FCT_COMMISSION,廖小溪(保单状态),2族,—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;领先于;置信度
KPI_14,内部-PI-14,企业级,企业registry,False,预约转化率,Appt Conv.,PI,内部流程,L1-01;L1-03;L1-04,否,预约/线索,%,越大越好,Mark待决,Mark待决,月,可直接算,FCT_SALES_ACTIVITY,廖小溪/数据,无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
KPI_15,内部-PI-15,企业级,企业registry,False,排期转化率,Sched Conv.,PI,内部流程,L1-03;L1-05,否,排期/预约,%,越大越好,Mark待决,Mark待决,月,可直接算,FCT_SALES_ACTIVITY,廖小溪/数据,无落责(待TP-04裁定),—,(见族反KPI),"推导(草案,待业务确认)",否,LOCKED-部分字段待补,目标值;阈值;落责岗位;领先于;置信度
