vn_kpi_id,vn_kpi_name,vn_id,dim_kpi_id,dim_kpi_name,match_method
VN-KPI-001,投诉处理时效,VN-ASD-01,KPI_26,投诉率,direct_correspondence
VN-KPI-001,投诉处理时效,VN-ASD-01,KPI_51,理赔时效,direct_correspondence
VN-KPI-002,投诉闭环率,VN-ASD-01,KPI_26,投诉率,direct_correspondence
VN-KPI-003,客户投诉升级率,VN-ASD-01,KPI_26,投诉率,direct_correspondence
VN-KPI-004,投诉处理时效,VN-ASD-02,KPI_26,投诉率,direct_correspondence
VN-KPI-004,投诉处理时效,VN-ASD-02,KPI_51,理赔时效,direct_correspondence
VN-KPI-005,客户满意度,VN-ASD-02,KPI_26,投诉率,direct_correspondence
VN-KPI-006,整改完成率,VN-ASD-02,KPI_26,投诉率,direct_correspondence
VN-KPI-008,U盾交接合规率,VN-BAM-01,KPI_27,审计问题数,process_support
VN-KPI-009,档案完整率,VN-BAM-01,KPI_17,递交转化率,driver_factor
VN-KPI-010,银行准入合规率,VN-BAM-02,KPI_27,审计问题数,process_support
VN-KPI-011,支票使用合规率,VN-BAM-02,KPI_27,审计问题数,process_support
VN-KPI-014,资金调拨合规率,VN-CFM-01,KPI_21,结算周期,direct_correspondence
VN-KPI-014,资金调拨合规率,VN-CFM-01,KPI_27,审计问题数,process_support
VN-KPI-017,复核准确率,VN-CFM-02,KPI_21,结算周期,process_support
VN-KPI-018,优化建议采纳率,VN-CPM-02,KPI_21,结算周期,process_support
VN-KPI-019,异常响应时效,VN-CPM-02,KPI_21,结算周期,process_support
VN-KPI-020,到期识别准确率,VN-CRR-01,KPI_13,N/R 结构,driver_factor
VN-KPI-021,续约资格审核覆盖率,VN-CRR-01,KPI_13,N/R 结构,driver_factor
VN-KPI-022,T11续约前流失预警处置率,VN-CRR-02,KPI-T07,合规红线实时预警处置率,direct_correspondence
VN-KPI-022,T11续约前流失预警处置率,VN-CRR-02,KPI-T11,续约前流失预警处置率,direct_correspondence
VN-KPI-022,T11续约前流失预警处置率,VN-CRR-02,KPI_13,N/R 结构,driver_factor
VN-KPI-023,预警触发准确率,VN-CRR-02,KPI-T07,合规红线实时预警处置率,direct_correspondence
VN-KPI-024,介入完成率,VN-CRR-02,KPI-T07,合规红线实时预警处置率,direct_correspondence
VN-KPI-025,方案审核通过率,VN-EQ-01,KPI_15,排期转化率,driver_factor
VN-KPI-025,方案审核通过率,VN-EQ-01,KPI-T02,机构周新接洽/激活数,driver_factor
VN-KPI-026,同行经代合作转化率,VN-EQ-01,KPI-T02,机构周新接洽/激活数,driver_factor
VN-KPI-027,方案匹配准确率,VN-EQ-02,KPI_15,排期转化率,driver_factor
VN-KPI-028,方案交付周期,VN-EQ-02,KPI_20,承保周期,direct_correspondence
VN-KPI-028,方案交付周期,VN-EQ-02,KPI_15,排期转化率,driver_factor
VN-KPI-029,推广素材使用率,VN-EQ-03,KPI_30,KA 活跃率,driver_factor
VN-KPI-030,业务线采纳率,VN-EQ-03,KPI_30,KA 活跃率,driver_factor
VN-KPI-030,业务线采纳率,VN-EQ-03,KPI_09,细分市场占比,rollup_aggregation
VN-KPI-031,方案共识达成率,VN-EQ-04,KPI_15,排期转化率,driver_factor
VN-KPI-032,合作伙伴满意度,VN-EQ-04,KPI_30,KA 活跃率,driver_factor
VN-KPI-033,合同签订周期,VN-EQ-05,KPI_20,承保周期,direct_correspondence
VN-KPI-034,合规通过率,VN-EQ-05,KPI_27,审计问题数,process_support
VN-KPI-035,内训覆盖率,VN-EQ-06,KPI_37,培训改善度,driver_factor
VN-KPI-036,交付经理满意度,VN-EQ-06,KPI_30,KA 活跃率,driver_factor
VN-KPI-037,客户入驻成功率,VN-EQ-07,KPI_30,KA 活跃率,direct_correspondence
VN-KPI-038,赋能完成率,VN-EQ-07,KPI-T03,KA赋能动作完成率,direct_correspondence
VN-KPI-038,赋能完成率,VN-EQ-07,KPI_30,KA 活跃率,driver_factor
VN-KPI-039,协议签订周期,VN-EQ-08,KPI_20,承保周期,direct_correspondence
VN-KPI-040,服务上架前置合规率,VN-EQ-08,KPI_27,审计问题数,process_support
VN-KPI-041,推广触达率,VN-EQ-09,KPI_30,KA 活跃率,driver_factor
VN-KPI-042,业务线采纳率,VN-EQ-09,KPI_30,KA 活跃率,driver_factor
VN-KPI-042,业务线采纳率,VN-EQ-09,KPI_09,细分市场占比,rollup_aggregation
VN-KPI-045,需求确认完整率,VN-EQ-11,KPI_30,KA 活跃率,driver_factor
VN-KPI-047,报告准确率,VN-FBA-01,KPI-T10,AI Agent任务自动完成率,process_support
VN-KPI-052,协议签署率,VN-FOB-01,KPI_16,签单转化率,direct_correspondence
VN-KPI-052,协议签署率,VN-FOB-01,KPI_34,新签 KA 数,driver_factor
VN-KPI-052,协议签署率,VN-FOB-01,KPI_20,承保周期,driver_factor
VN-KPI-053,归档完整率,VN-FOB-01,KPI_27,审计问题数,process_support
VN-KPI-053,归档完整率,VN-FOB-01,KPI_17,递交转化率,driver_factor
VN-KPI-054,新人留存率,VN-FOB-02,KPI_36,新人留存率,direct_correspondence
VN-KPI-054,新人留存率,VN-FOB-02,KPI_35,新签成活率,driver_factor
VN-KPI-055,首单转化率,VN-FOB-02,KPI_16,签单转化率,direct_correspondence
VN-KPI-055,首单转化率,VN-FOB-02,KPI_35,新签成活率,driver_factor
VN-KPI-055,首单转化率,VN-FOB-02,KPI_36,新人留存率,driver_factor
VN-KPI-055,首单转化率,VN-FOB-02,KPI_01,总保费,rollup_aggregation
VN-KPI-055,首单转化率,VN-FOB-02,KPI_02,APE,rollup_aggregation
VN-KPI-055,首单转化率,VN-FOB-02,KPI_04,净营收,rollup_aggregation
VN-KPI-055,首单转化率,VN-FOB-02,KPI_06,管理利润,rollup_aggregation
VN-KPI-055,首单转化率,VN-FOB-02,KPI_31,人均 APE,driver_factor
VN-KPI-055,首单转化率,VN-FOB-02,KPI_32,人均件数,driver_factor
VN-KPI-055,首单转化率,VN-FOB-02,KPI-T09,签单转化率(周跟踪),driver_factor
VN-KPI-056,培养目标达成率,VN-FOB-02,KPI_03,目标达成率,direct_correspondence
VN-KPI-056,培养目标达成率,VN-FOB-02,KPI_35,新签成活率,driver_factor
VN-KPI-056,培养目标达成率,VN-FOB-02,KPI_36,新人留存率,driver_factor
VN-KPI-057,首单转化率,VN-FOR-01,KPI_16,签单转化率,direct_correspondence
VN-KPI-057,首单转化率,VN-FOR-01,KPI_35,新签成活率,driver_factor
VN-KPI-057,首单转化率,VN-FOR-01,KPI_36,新人留存率,driver_factor
VN-KPI-057,首单转化率,VN-FOR-01,KPI_01,总保费,rollup_aggregation
VN-KPI-057,首单转化率,VN-FOR-01,KPI_02,APE,rollup_aggregation
VN-KPI-057,首单转化率,VN-FOR-01,KPI_04,净营收,rollup_aggregation
VN-KPI-057,首单转化率,VN-FOR-01,KPI_06,管理利润,rollup_aggregation
VN-KPI-057,首单转化率,VN-FOR-01,KPI_31,人均 APE,driver_factor
VN-KPI-057,首单转化率,VN-FOR-01,KPI_32,人均件数,driver_factor
VN-KPI-057,首单转化率,VN-FOR-01,KPI-T09,签单转化率(周跟踪),driver_factor
