kpi_id,kpi_name,legacy_ea_id,vn_id,vn_name,kpi_code,dim_kpi_id,match_method,kpi_level,kpi_type,is_mark_kpi,cq_count,sample_cq_id,priority
VN-KPI-001,投诉处理时效,,VN-ASD-01,投诉处理报告,VN-ASD-001,KPI_26,direct_correspondence,价值节点级,全量registry,False,1,CQ-1223,P1
VN-KPI-002,投诉闭环率,,VN-ASD-01,投诉处理报告,VN-ASD-002,KPI_26,direct_correspondence,价值节点级,全量registry,False,1,CQ-1224,P1
VN-KPI-003,客户投诉升级率,,VN-ASD-01,投诉处理报告,VN-ASD-003,KPI_26,direct_correspondence,价值节点级,全量registry,False,1,CQ-1225,P1
VN-KPI-004,投诉处理时效,,VN-ASD-02,售后服务质量监控报告,VN-ASD-004,KPI_26,direct_correspondence,价值节点级,全量registry,False,1,CQ-1226,P1
VN-KPI-005,客户满意度,,VN-ASD-02,售后服务质量监控报告,VN-ASD-005,KPI_26,direct_correspondence,价值节点级,全量registry,False,1,CQ-1227,P1
VN-KPI-006,整改完成率,,VN-ASD-02,售后服务质量监控报告,VN-ASD-006,KPI_26,direct_correspondence,价值节点级,全量registry,False,1,CQ-1228,P1
VN-KPI-007,账户盘点覆盖率,,VN-BAM-01,银行账户全生命周期管理资产包,VN-BAM-007,,,价值节点级,全量registry,False,1,CQ-1229,P0
VN-KPI-008,U盾交接合规率,,VN-BAM-01,银行账户全生命周期管理资产包,VN-BAM-008,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1230,P0
VN-KPI-009,档案完整率,,VN-BAM-01,银行账户全生命周期管理资产包,VN-BAM-009,KPI_17,driver_factor,价值节点级,全量registry,False,1,CQ-1231,P0
VN-KPI-010,银行准入合规率,,VN-BAM-02,银行准入评估与支付工具管理记录,VN-BAM-010,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1232,P1
VN-KPI-011,支票使用合规率,,VN-BAM-02,银行准入评估与支付工具管理记录,VN-BAM-011,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1233,P1
VN-KPI-012,预测准确率,,VN-CFM-01,现金流管理报告包,VN-CFM-012,,,价值节点级,全量registry,False,1,CQ-1234,P0
VN-KPI-013,缺口预警及时率,,VN-CFM-01,现金流管理报告包,VN-CFM-013,,,价值节点级,全量registry,False,1,CQ-1235,P0
VN-KPI-014,资金调拨合规率,,VN-CFM-01,现金流管理报告包,VN-CFM-014,KPI_21,direct_correspondence,价值节点级,全量registry,False,1,CQ-1236,P0
VN-KPI-015,付款审批覆盖率,,VN-CFM-02,资金付款审批单,VN-CFM-015,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1237,P1
VN-KPI-016,原始凭证完整率,,VN-CFM-02,资金付款审批单,VN-CFM-016,KPI_27,process_support,价值节点级,全量registry,False,1,CQ-1238,P1
VN-KPI-017,复核准确率,,VN-CFM-02,资金付款审批单,VN-CFM-017,KPI_21,process_support,价值节点级,全量registry,False,1,CQ-1239,P1
VN-KPI-018,优化建议采纳率,,VN-CPM-02,优化闭环执行包,VN-CPM-018,KPI_21,process_support,价值节点级,全量registry,False,1,CQ-1240,P1
VN-KPI-019,异常响应时效,,VN-CPM-02,优化闭环执行包,VN-CPM-019,KPI_21,process_support,价值节点级,全量registry,False,1,CQ-1241,P1
VN-KPI-020,到期识别准确率,,VN-CRR-01,合作伙伴到期审核记录,VN-CRR-020,KPI_13,driver_factor,价值节点级,全量registry,False,1,CQ-1242,P0
VN-KPI-021,续约资格审核覆盖率,,VN-CRR-01,合作伙伴到期审核记录,VN-CRR-021,KPI_13,driver_factor,价值节点级,全量registry,False,1,CQ-1243,P0
VN-KPI-022,T11续约前流失预警处置率,,VN-CRR-02,续约前流失预警报告,VN-CRR-022,KPI-T07,direct_correspondence,价值节点级,全量registry,False,1,CQ-1244,P0
VN-KPI-023,预警触发准确率,,VN-CRR-02,续约前流失预警报告,VN-CRR-023,KPI-T07,direct_correspondence,价值节点级,全量registry,False,1,CQ-1245,P0
